"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 06 16:55:16 MSK 2020","Fri Mar 06 16:55:16 MSK 2020","0","Pytest_package","test_pytest_allure","","","","testmethod1",""
"passed","Fri Mar 06 16:55:16 MSK 2020","Fri Mar 06 16:55:16 MSK 2020","1","Pytest_package","test_pytest_allure","","","","testmethod2",""
